SEASON,TEAM,DVOA,PLAYOFFS
2004,PIT,37.6,made
2004,NE,35.0,won
2004,BUF,31.4,missed
2004,NYJ,27.2,made
2004,IND,26.7,made
2004,PHI,23.6,lost
2004,DEN,22.8,made
2004,BAL,20.7,missed
2004,LAC,18.1,made
2004,KC,14.3,missed
2004,CIN,12.3,missed
2004,GB,2.1,made
2004,JAX,0.3,missed
2004,CAR,-0.3,missed
2004,ATL,-1.7,made
2004,SEA,-2.4,made
2004,MIN,-4.1,made
2004,TB,-4.5,missed
2004,DET,-5.0,missed
2004,HOU,-7.5,missed
2004,WAS,-8.8,missed
2004,MIA,-14.4,missed
2004,NO,-14.6,missed
2004,LVR,-15.4,missed
2004,DAL,-15.9,missed
2004,NYG,-16.0,missed
2004,TEN,-18.7,missed
2004,CLE,-19.6,missed
2004,ARI,-23.7,missed
2004,LAR,-23.7,made
2004,CHI,-28.5,missed
2004,SF,-43.1,missed
2005,IND,33.4,made
2005,DEN,30.7,made
2005,SEA,27.5,lost
2005,PIT,27.2,won
2005,KC,23.9,missed
2005,LAC,23.6,missed
2005,WAS,21.7,made
2005,CIN,19.3,made
2005,CAR,17.6,made
2005,NYG,17.2,made
2005,JAX,15.0,made
2005,NE,9.6,made
2005,DAL,4.4,missed
2005,TB,2.3,made
2005,MIA,1.2,missed
2005,ATL,-1.0,missed
2005,CHI,-1.8,made
2005,BAL,-1.9,missed
2005,PHI,-2.3,missed
2005,LVR,-7.9,missed
2005,GB,-11.6,missed
2005,ARI,-13.1,missed
2005,MIN,-15.0,missed
2005,CLE,-16.6,missed
2005,BUF,-18.8,missed
2005,DET,-20.5,missed
2005,NO,-21.3,missed
2005,NYJ,-21.7,missed
2005,LAR,-22.2,missed
2005,TEN,-22.6,missed
2005,HOU,-30.5,missed
2005,SF,-57.7,missed
2006,LAC,28.5,made
2006,BAL,27.2,made
2006,NE,26.1,made
2006,PHI,25.5,made
2006,CHI,24.0,lost
2006,JAX,21.8,missed
2006,IND,17.9,won
2006,NYG,12.3,made
2006,DAL,11.0,made
2006,NO,10.0,made
2006,PIT,8.8,missed
2006,CIN,6.1,missed
2006,KC,5.3,made
2006,CAR,4.6,missed
2006,DEN,-1.6,missed
2006,MIA,-1.6,missed
2006,NYJ,-2.3,made
2006,BUF,-2.5,missed
2006,ATL,-5.2,missed
2006,GB,-6.1,missed
2006,MIN,-10.0,missed
2006,WAS,-10.4,missed
2006,TEN,-11.3,missed
2006,LAR,-11.3,missed
2006,SEA,-14.1,made
2006,CLE,-17.1,missed
2006,DET,-17.9,missed
2006,SF,-19.7,missed
2006,HOU,-20.9,missed
2006,ARI,-20.9,missed
2006,TB,-21.5,missed
2006,LVR,-34.7,missed
2007,NE,53.4,lost
2007,IND,29.6,made
2007,JAX,23.2,made
2007,DAL,23.0,made
2007,GB,20.5,made
2007,PIT,19.2,made
2007,LAC,17.8,made
2007,TB,17.5,made
2007,SEA,14.0,made
2007,PHI,11.1,missed
2007,TEN,10.0,made
2007,CLE,8.8,missed
2007,WAS,5.3,made
2007,MIN,5.1,missed
2007,NYG,1.4,won
2007,CIN,-0.2,missed
2007,HOU,-0.8,missed
2007,DEN,-1.7,missed
2007,NO,-5.7,missed
2007,CHI,-6.2,missed
2007,BAL,-6.6,missed
2007,BUF,-6.7,missed
2007,ARI,-11.9,missed
2007,NYJ,-17.3,missed
2007,KC,-20.4,missed
2007,CAR,-21.1,missed
2007,ATL,-23.1,missed
2007,MIA,-23.2,missed
2007,DET,-24.3,missed
2007,LVR,-30.8,missed
2007,LAR,-33.2,missed
2007,SF,-35.4,missed
2008,PHI,30.6,made
2008,NYG,27.8,made
2008,BAL,27.7,made
2008,PIT,26.4,won
2008,TEN,24.2,made
2008,CAR,18.2,made
2008,IND,15.2,made
2008,LAC,13.2,made
2008,NE,11.6,missed
2008,NO,11.5,missed
2008,TB,9.3,missed
2008,ATL,9.2,made
2008,GB,8.9,missed
2008,WAS,7.8,missed
2008,MIA,7.0,made
2008,CHI,5.3,missed
2008,MIN,4.2,made
2008,DAL,2.4,missed
2008,NYJ,2.2,missed
2008,JAX,-2.3,missed
2008,ARI,-4.0,lost
2008,BUF,-8.1,missed
2008,HOU,-8.8,missed
2008,DEN,-9.6,missed
2008,SF,-15.8,missed
2008,CLE,-21.5,missed
2008,CIN,-22.0,missed
2008,LVR,-24.1,missed
2008,SEA,-24.3,missed
2008,KC,-30.6,missed
2008,LAR,-44.7,missed
2008,DET,-45.2,missed
2009,NE,29.1,made
2009,PHI,29.0,made
2009,GB,28.8,made
2009,BAL,28.2,made
2009,DAL,27.2,made
2009,NO,25.2,won
2009,MIN,22.8,made
2009,IND,17.0,lost
2009,NYJ,16.5,made
2009,ARI,14.2,made
2009,PIT,13.7,missed
2009,HOU,12.5,missed
2009,LAC,12.4,made
2009,DEN,9.3,missed
2009,CAR,6.5,missed
2009,ATL,3.7,missed
2009,MIA,2.9,missed
2009,NYG,2.8,missed
2009,CIN,-1.2,made
2009,SF,-1.9,missed
2009,WAS,-9.0,missed
2009,TEN,-9.4,missed
2009,JAX,-10.5,missed
2009,BUF,-11.2,missed
2009,CHI,-19.6,missed
2009,TB,-25.2,missed
2009,CLE,-25.4,missed
2009,SEA,-31.0,missed
2009,KC,-31.3,missed
2009,LVR,-35.7,missed
2009,LAR,-43.6,missed
2009,DET,-48.6,missed
2010,NE,44.3,made
2010,PIT,34.7,lost
2010,GB,23.5,won
2010,PHI,22.2,made
2010,BAL,21.9,made
2010,ATL,20.4,made
2010,NYJ,17.7,made
2010,LAC,14.7,missed
2010,NO,12.5,made
2010,NYG,11.8,missed
2010,TEN,6.0,missed
2010,HOU,3.6,missed
2010,TB,2.8,missed
2010,CHI,2.2,made
2010,DET,2.1,missed
2010,MIA,1.6,missed
2010,IND,1.0,made
2010,KC,-0.9,made
2010,CIN,-4.8,missed
2010,LVR,-4.8,missed
2010,CLE,-4.9,missed
2010,DAL,-8.7,missed
2010,JAX,-10.5,missed
2010,MIN,-11.7,missed
2010,SF,-12.4,missed
2010,LAR,-15.9,missed
2010,DEN,-19.8,missed
2010,WAS,-20.9,missed
2010,BUF,-22.4,missed
2010,SEA,-24.3,made
2010,ARI,-33.5,missed
2010,CAR,-38.2,missed
2011,NO,28.7,made
2011,GB,26.2,made
2011,PIT,22.1,made
2011,NE,21.5,lost
2011,HOU,20.3,made
2011,SF,18.4,made
2011,ATL,17.3,made
2011,BAL,13.5,made
2011,PHI,13.3,missed
2011,DET,13.1,made
2011,NYJ,12.3,missed
2011,NYG,7.3,won
2011,DAL,6.2,missed
2011,TEN,5.4,missed
2011,CHI,1.0,missed
2011,LAC,-0.4,missed
2011,CIN,-1.4,made
2011,MIA,-2.4,missed
2011,SEA,-2.4,missed
2011,CAR,-4.3,missed
2011,WAS,-7.8,missed
2011,LVR,-8.5,missed
2011,BUF,-10.1,missed
2011,DEN,-13.1,made
2011,CLE,-15.1,missed
2011,ARI,-16.8,missed
2011,KC,-18.1,missed
2011,JAX,-19.5,missed
2011,MIN,-19.9,missed
2011,TB,-26.5,missed
2011,LAR,-33.1,missed
2011,IND,-34.5,missed
2012,SEA,38.4,made
2012,DEN,35.9,made
2012,NE,33.7,made
2012,SF,30.2,lost
2012,GB,25.9,made
2012,CHI,20.1,missed
2012,ATL,12.4,made
2012,NYG,11.9,missed
2012,HOU,9.7,made
2012,BAL,9.0,won
2012,WAS,9.0,made
2012,MIN,6.6,made
2012,CIN,4.2,made
2012,CAR,4.2,missed
2012,LAR,4.2,missed
2012,DET,3.1,missed
2012,DAL,1.8,missed
2012,NO,-1.2,missed
2012,PIT,-2.4,missed
2012,TB,-7.2,missed
2012,MIA,-8.0,missed
2012,LAC,-10.8,missed
2012,BUF,-12.4,missed
2012,ARI,-13.7,missed
2012,CLE,-15.2,missed
2012,IND,-16.2,made
2012,NYJ,-19.1,missed
2012,PHI,-24.9,missed
2012,LVR,-30.2,missed
2012,TEN,-30.9,missed
2012,JAX,-34.6,missed
2012,KC,-43.5,missed
2013,SEA,40.0,won
2013,DEN,33.2,lost
2013,CAR,24.7,made
2013,NO,22.9,made
2013,NE,17.9,made
2013,SF,16.8,made
2013,KC,16.0,made
2013,CIN,14.0,made
2013,PHI,13.5,made
2013,ARI,12.6,missed
2013,CHI,6.0,missed
2013,LAR,5.4,missed
2013,LAC,5.2,made
2013,IND,2.7,made
2013,DET,1.9,missed
2013,DAL,-0.1,missed
2013,PIT,-1.5,missed
2013,BUF,-3.9,missed
2013,TB,-5.2,missed
2013,ATL,-6.4,missed
2013,TEN,-6.5,missed
2013,MIA,-7.4,missed
2013,GB,-7.7,made
2013,BAL,-8.1,missed
2013,MIN,-8.6,missed
2013,NYJ,-9.5,missed
2013,NYG,-16.5,missed
2013,CLE,-23.7,missed
2013,HOU,-25.4,missed
2013,WAS,-27.5,missed
2013,LVR,-34.9,missed
2013,JAX,-40.2,missed
2014,SEA,31.7,lost
2014,DEN,28.9,made
2014,GB,23.0,made
2014,BAL,22.1,made
2014,NE,21.6,won
2014,DAL,16.6,made
2014,PHI,12.5,missed
2014,PIT,11.3,made
2014,BUF,10.7,missed
2014,KC,9.8,missed
2014,DET,7.5,made
2014,SF,6.3,missed
2014,CIN,4.5,made
2014,IND,4.5,made
2014,NO,3.1,missed
2014,MIA,2.9,missed
2014,LAR,-0.7,missed
2014,HOU,-1.0,missed
2014,LAC,-2.0,missed
2014,ARI,-2.5,made
2014,ATL,-3.3,missed
2014,NYG,-7.8,missed
2014,CLE,-7.9,missed
2014,CAR,-9.5,made
2014,MIN,-10.0,missed
2014,CHI,-15.3,missed
2014,NYJ,-16.8,missed
2014,WAS,-29.1,missed
2014,TB,-29.4,missed
2014,LVR,-29.5,missed
2014,TEN,-31.1,missed
2014,JAX,-31.3,missed
2015,SEA,38.6,made
2015,ARI,30.2,made
2015,CIN,26.6,made
2015,CAR,25.5,lost
2015,KC,25.5,made
2015,NE,22.6,made
2015,PIT,20.4,made
2015,DEN,17.4,won
2015,NYJ,11.7,missed
2015,GB,8.7,made
2015,MIN,5.8,made
2015,DET,5.0,missed
2015,BUF,0.9,missed
2015,LAR,0.9,missed
2015,LVR,-0.6,missed
2015,WAS,-0.8,made
2015,HOU,-2.4,made
2015,BAL,-4.4,missed
2015,CHI,-6.5,missed
2015,NYG,-7.4,missed
2015,TB,-9.5,missed
2015,ATL,-12.3,missed
2015,PHI,-12.7,missed
2015,IND,-14.0,missed
2015,NO,-15.0,missed
2015,DAL,-16.0,missed
2015,JAX,-16.7,missed
2015,LAC,-16.9,missed
2015,MIA,-21.1,missed
2015,CLE,-24.1,missed
2015,TEN,-28.1,missed
2015,SF,-28.3,missed
2016,NE,25.1,won
2016,DAL,24.0,made
2016,ATL,23.9,lost
2016,PIT,15.6,made
2016,KC,13.5,made
2016,PHI,13.3,missed
2016,GB,11.0,made
2016,NYG,9.4,made
2016,WAS,8.9,missed
2016,LVR,7.6,made
2016,SEA,7.5,made
2016,BAL,7.2,missed
2016,ARI,4.6,missed
2016,CIN,3.2,missed
2016,DEN,2.9,missed
2016,NO,2.2,missed
2016,TEN,2.0,missed
2016,MIN,1.2,missed
2016,BUF,-0.7,missed
2016,MIA,-1.4,made
2016,LAC,-1.9,missed
2016,TB,-3.0,missed
2016,IND,-5.6,missed
2016,CAR,-6.3,missed
2016,CHI,-8.8,missed
2016,DET,-11.2,made
2016,JAX,-11.7,missed
2016,HOU,-19.5,made
2016,SF,-21.5,missed
2016,LAR,-29.5,missed
2016,CLE,-32.5,missed
2016,NYJ,-34.5,missed
2017,NO,35.0,made
2017,MIN,28.7,made
2017,LAR,27.6,made
2017,PIT,25.9,made
2017,PHI,23.7,won
2017,NE,22.2,lost
2017,BAL,17.9,missed
2017,JAX,13.8,made
2017,CAR,12.6,made
2017,KC,10.9,made
2017,DAL,9.3,missed
2017,DET,9.0,missed
2017,LAC,6.8,missed
2017,ATL,5.0,made
2017,SEA,2.3,missed
2017,WAS,-2.6,missed
2017,GB,-4.5,missed
2017,TEN,-6.2,made
2017,ARI,-8.2,missed
2017,LVR,-8.6,missed
2017,SF,-9.4,missed
2017,BUF,-10.7,made
2017,TB,-12.4,missed
2017,CIN,-14.3,missed
2017,CHI,-17.0,missed
2017,HOU,-18.0,missed
2017,NYJ,-19.2,missed
2017,MIA,-21.7,missed
2017,DEN,-22.4,missed
2017,IND,-23.9,missed
2017,NYG,-24.5,missed
2017,CLE,-28.7,missed
2018,KC,33.2,made
2018,NO,25.2,made
2018,LAR,23.9,lost
2018,LAC,22.1,made
2018,CHI,19.1,made
2018,BAL,15.8,made
2018,NE,13.5,won
2018,IND,12.4,made
2018,PIT,11.3,missed
2018,MIN,10.5,missed
2018,HOU,10.4,made
2018,SEA,5.9,made
2018,DEN,5.5,missed
2018,CAR,0.3,missed
2018,PHI,-1.0,made
2018,NYG,-1.2,missed
2018,ATL,-2.2,missed
2018,DAL,-2.3,made
2018,CLE,-3.3,missed
2018,GB,-4.4,missed
2018,TEN,-6.0,missed
2018,JAX,-8.5,missed
2018,DET,-10.5,missed
2018,CIN,-10.8,missed
2018,TB,-14.4,missed
2018,NYJ,-17.0,missed
2018,MIA,-17.7,missed
2018,BUF,-18.6,missed
2018,WAS,-20.1,missed
2018,SF,-22.0,missed
2018,LVR,-23.4,missed
2018,ARI,-38.4,missed
2019,BAL,41.2,made
2019,NO,32.7,made
2019,NE,30.7,made
2019,KC,30.1,won
2019,SF,29.0,lost
2019,DAL,19.9,missed
2019,MIN,17.9,made
2019,SEA,12.7,made
2019,GB,7.7,made
2019,TEN,7.6,made
2019,PHI,5.5,made
2019,LAR,5.3,missed
2019,BUF,1.6,made
2019,TB,0.3,missed
2019,ATL,-1.9,missed
2019,HOU,-2.2,made
2019,ARI,-3.1,missed
2019,CHI,-3.1,missed
2019,PIT,-5.8,missed
2019,IND,-6.0,missed
2019,DET,-8.1,missed
2019,LAC,-8.9,missed
2019,DEN,-10.4,missed
2019,CLE,-10.6,missed
2019,LVR,-12.7,missed
2019,NYJ,-17.7,missed
2019,NYG,-18.6,missed
2019,JAX,-19.4,missed
2019,CAR,-26.5,missed
2019,WAS,-26.9,missed
2019,CIN,-27.6,missed
2019,MIA,-38.8,missed
1985,CHI,52.5,won
1985,NYJ,27.4,made
1985,SF,25.6,made
1985,LAR,19.4,made
1985,NYG,19.1,made
1985,LVR,18.3,made
1985,NE,18.0,lost
1985,WAS,13.8,missed
1985,MIA,13.5,made
1985,DAL,8.8,made
1985,CIN,4.5,missed
1985,BAL,4.3,made
1985,SEA,4.1,missed
1985,PIT,3.6,missed
1985,DEN,3.4,missed
1985,LAC,-0.7,missed
1985,PHI,-7.3,missed
1985,KC,-8.7,missed
1985,GB,-13.0,missed
1985,MIN,-13.6,missed
1985,IND,-14.2,missed
